,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_uri,track_href,analysis_url,duration_ms,time_signature
282,0.855,0.331,7,-8.652,1,0.07,0.41,0.00131,0.152,0.652,98.03,audio_features,4A4EI3YNaHhDiAgpQlCZkk,4A4EI3YNaHhDiAgpQlCZkk,https://api.spotify.com/v1/tracks/4A4EI3YNaHhDiAgpQlCZkk,https://api.spotify.com/v1/audio-analysis/4A4EI3YNaHhDiAgpQlCZkk,194776,4
283,0.665,0.559,5,-7.579,0,0.235,0.317,0.0,0.394,0.416,84.959,audio_features,6bKM56cyoz8kjiK7QKQ87i,6bKM56cyoz8kjiK7QKQ87i,https://api.spotify.com/v1/tracks/6bKM56cyoz8kjiK7QKQ87i,https://api.spotify.com/v1/audio-analysis/6bKM56cyoz8kjiK7QKQ87i,169761,4
284,0.877,0.448,9,-5.773,0,0.0917,0.451,4.55e-06,0.139,0.897,110.021,audio_features,3dIQBJdqStpq539wSrqhXw,3dIQBJdqStpq539wSrqhXw,https://api.spotify.com/v1/tracks/3dIQBJdqStpq539wSrqhXw,https://api.spotify.com/v1/audio-analysis/3dIQBJdqStpq539wSrqhXw,197205,4
285,0.718,0.454,4,-9.775,1,0.256,0.34,0.0228,0.0814,0.631,168.037,audio_features,7eb5G8a12Fn4TwRr3cbJBd,7eb5G8a12Fn4TwRr3cbJBd,https://api.spotify.com/v1/tracks/7eb5G8a12Fn4TwRr3cbJBd,https://api.spotify.com/v1/audio-analysis/7eb5G8a12Fn4TwRr3cbJBd,213040,4
286,0.545,0.723,0,-3.496,1,0.0615,0.737,0.0,0.11,0.146,77.243,audio_features,4twgRiWgXqAXgIav4CSsBq,4twgRiWgXqAXgIav4CSsBq,https://api.spotify.com/v1/tracks/4twgRiWgXqAXgIav4CSsBq,https://api.spotify.com/v1/audio-analysis/4twgRiWgXqAXgIav4CSsBq,138667,4
287,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4
288,0.6,0.322,0,-6.982,1,0.0315,0.472,0.0,0.14,0.219,109.877,audio_features,7pbxFCIMIYrfKsgpoB3UL6,7pbxFCIMIYrfKsgpoB3UL6,https://api.spotify.com/v1/tracks/7pbxFCIMIYrfKsgpoB3UL6,https://api.spotify.com/v1/audio-analysis/7pbxFCIMIYrfKsgpoB3UL6,259906,4
289,0.51,0.327,7,-6.154,1,0.504,0.335,0.0,0.119,0.523,37.399,audio_features,38loOBAgDgCW4pFWyH9cey,38loOBAgDgCW4pFWyH9cey,https://api.spotify.com/v1/tracks/38loOBAgDgCW4pFWyH9cey,https://api.spotify.com/v1/audio-analysis/38loOBAgDgCW4pFWyH9cey,120000,4
290,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007,audio_features,7yNf9YjeO5JXUE3JEBgnYc,7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/tracks/7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/audio-analysis/7yNf9YjeO5JXUE3JEBgnYc,97960,4
291,0.497,0.55,8,-6.13,1,0.0257,0.847,0.049,0.119,0.542,79.955,audio_features,66dQdXAbtuPdSasezCQVZE,66dQdXAbtuPdSasezCQVZE,https://api.spotify.com/v1/tracks/66dQdXAbtuPdSasezCQVZE,https://api.spotify.com/v1/audio-analysis/66dQdXAbtuPdSasezCQVZE,204939,4
292,0.312,0.73,11,-7.433,1,0.126,0.396,0.00201,0.942,0.267,140.099,audio_features,3dzi1yJbrxUaPS3yjn9SgV,3dzi1yJbrxUaPS3yjn9SgV,https://api.spotify.com/v1/tracks/3dzi1yJbrxUaPS3yjn9SgV,https://api.spotify.com/v1/audio-analysis/3dzi1yJbrxUaPS3yjn9SgV,273682,4
293,0.716,0.518,0,-6.687,1,0.116,0.71,1.33e-06,0.343,0.504,92.734,audio_features,3CGUkMDRXget4VOziKsgmc,3CGUkMDRXget4VOziKsgmc,https://api.spotify.com/v1/tracks/3CGUkMDRXget4VOziKsgmc,https://api.spotify.com/v1/audio-analysis/3CGUkMDRXget4VOziKsgmc,213964,4
294,0.751,0.529,11,-8.061,0,0.218,0.0479,0.0,0.105,0.765,77.997,audio_features,1Nru7nCQ9VyqaEAez3nKmN,1Nru7nCQ9VyqaEAez3nKmN,https://api.spotify.com/v1/tracks/1Nru7nCQ9VyqaEAez3nKmN,https://api.spotify.com/v1/audio-analysis/1Nru7nCQ9VyqaEAez3nKmN,199139,4
295,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,audio_features,3Ofmpyhv5UAQ70mENzB277,3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/tracks/3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/audio-analysis/3Ofmpyhv5UAQ70mENzB277,132780,4
296,0.661,0.618,6,-5.023,1,0.167,0.371,0.000222,0.114,0.523,75.029,audio_features,3soKdLpgZNCtYLRsnwxwfB,3soKdLpgZNCtYLRsnwxwfB,https://api.spotify.com/v1/tracks/3soKdLpgZNCtYLRsnwxwfB,https://api.spotify.com/v1/audio-analysis/3soKdLpgZNCtYLRsnwxwfB,170023,4
297,0.714,0.567,6,-10.738,1,0.0325,0.0496,0.000115,0.0586,0.954,127.972,audio_features,3OYSWIgKXiwjutuQ4NEk1b,3OYSWIgKXiwjutuQ4NEk1b,https://api.spotify.com/v1/tracks/3OYSWIgKXiwjutuQ4NEk1b,https://api.spotify.com/v1/audio-analysis/3OYSWIgKXiwjutuQ4NEk1b,72187,4
298,0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,0.157,0.837,106.994,audio_features,65j65yDSE06CNKAPjsHoJt,65j65yDSE06CNKAPjsHoJt,https://api.spotify.com/v1/tracks/65j65yDSE06CNKAPjsHoJt,https://api.spotify.com/v1/audio-analysis/65j65yDSE06CNKAPjsHoJt,220588,4
299,0.605,0.724,1,-7.729,0,0.0441,0.121,0.431,0.108,0.898,89.403,audio_features,0a0EYuSVqeVqV8kjN9bFYC,0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/tracks/0a0EYuSVqeVqV8kjN9bFYC,https://api.spotify.com/v1/audio-analysis/0a0EYuSVqeVqV8kjN9bFYC,226613,4
300,0.686,0.456,0,-7.81,1,0.234,0.662,8.93e-06,0.357,0.569,96.889,audio_features,4FF0tP9mkoiFKLiXFeXm0q,4FF0tP9mkoiFKLiXFeXm0q,https://api.spotify.com/v1/tracks/4FF0tP9mkoiFKLiXFeXm0q,https://api.spotify.com/v1/audio-analysis/4FF0tP9mkoiFKLiXFeXm0q,93871,3
301,0.665,0.613,2,-6.537,1,0.0754,0.175,0.0,0.361,0.791,162.01,audio_features,6aIfPfQrAmgLnZOutU247J,6aIfPfQrAmgLnZOutU247J,https://api.spotify.com/v1/tracks/6aIfPfQrAmgLnZOutU247J,https://api.spotify.com/v1/audio-analysis/6aIfPfQrAmgLnZOutU247J,159548,4
302,0.534,0.62,0,-6.775,1,0.0504,0.0124,0.000736,0.296,0.547,106.986,audio_features,5wv2XK6ms7KBBVDD1cOwlx,5wv2XK6ms7KBBVDD1cOwlx,https://api.spotify.com/v1/tracks/5wv2XK6ms7KBBVDD1cOwlx,https://api.spotify.com/v1/audio-analysis/5wv2XK6ms7KBBVDD1cOwlx,375656,4
